player,games_played,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,turnover,stl,blk,pf,era
Magic Johnson,59.44444444444444,2288.3333333333335,20.72,7.635555555555555,13.912222222222221,0.5478888888888888,0.33111111111111113,1.0366666666666666,0.24422222222222223,5.120000000000001,5.120000000000001,0.8717777777777777,1.0677777777777777,4.088888888888889,5.155555555555555,12.731111111111112,3.0555555555555554,1.4477777777777776,0.31666666666666665,2.338888888888889,80s
Larry Bird,55.111111111111114,2295.6666666666665,24.91888888888889,9.945555555555554,19.913333333333334,0.4984444444444444,0.6155555555555555,1.68,0.2821111111111112,4.414444444444444,4.414444444444444,0.8896666666666668,1.2366666666666666,5.933333333333334,7.17,6.578888888888889,2.2711111111111117,1.2544444444444445,0.8422222222222222,2.701111111111111,80s
Kareem Abdul-Jabbar,60.375,1851.125,18.652500000000003,7.831250000000001,13.7975,0.564,0.00125,0.03875,0.041625,2.9875,2.9875,0.7007500000000001,1.33875,3.4787500000000002,4.8175,2.60625,1.68125,0.505,1.7275,3.0062499999999996,80s
Moses Malone,69.0,2196.777777777778,23.083333333333332,7.811111111111111,16.145555555555557,0.48300000000000004,0.0044444444444444444,0.09444444444444444,0.04411111111111111,7.456666666666667,7.456666666666667,0.7858888888888889,3.671111111111111,5.497777777777777,9.167777777777777,1.3966666666666665,2.767777777777778,0.7655555555555557,1.4455555555555557,2.3577777777777778,80s
Michael Jordan,71.16666666666667,2229.1666666666665,31.504999999999995,11.584999999999999,22.718333333333334,0.5088333333333334,0.32833333333333337,1.2133333333333332,0.21766666666666667,8.006666666666668,8.006666666666668,0.8468333333333332,1.7700000000000002,4.1866666666666665,5.954999999999999,5.611666666666667,3.171666666666667,2.691666666666667,1.0983333333333334,3.035,80s
Isiah Thomas,64.44444444444444,2166.0,19.427777777777774,7.366666666666668,16.157777777777778,0.45566666666666666,0.34444444444444444,1.15,0.461,4.351111111111112,4.351111111111112,0.7676666666666666,0.7866666666666666,2.173333333333334,2.96,9.467777777777778,3.058888888888889,1.7777777777777777,0.28,3.2666666666666666,80s
Julius Erving,73.66666666666667,2007.1666666666667,20.515,8.061666666666667,15.95833333333333,0.5033333333333333,0.09166666666666667,0.33,0.29016666666666663,4.3,4.3,0.7723333333333334,1.4816666666666665,2.1216666666666666,3.603333333333333,3.52,1.861666666666667,1.3966666666666667,1.58,2.6566666666666667,80s
Dominique Wilkins,70.25,2219.25,26.401249999999997,10.06,21.36625,0.472875,0.3075,1.0787499999999999,0.20975,5.9750000000000005,5.9750000000000005,0.8015000000000001,2.56125,3.45,6.0112499999999995,2.475,2.33,1.33375,0.7324999999999999,2.0225,80s
James Worthy,69.625,2052.375,18.59375,7.786250000000001,14.365,0.5421250000000001,0.03,0.19874999999999998,0.06475,2.9975000000000005,2.9975000000000005,0.74525,1.69625,3.36125,5.05625,2.8125,1.885,0.9925,0.9062499999999999,2.36375,80s
Kevin McHale,61.77777777777778,2032.888888888889,20.146666666666665,7.808888888888889,13.701111111111112,0.5693333333333334,0.03222222222222223,0.11777777777777779,0.07400000000000001,4.494444444444444,4.494444444444444,0.7979999999999999,2.1033333333333335,4.485555555555555,6.591111111111112,1.905555555555556,1.9433333333333331,0.52,1.8099999999999998,2.927777777777778,80s
